D2,shift,inv_ratio,sim,median_delay
2,1,1.0,18,22.0
2,1,1.0,19,96.5
2,2,0.0,0,65.0
2,2,0.0,1,52.0
2,2,0.0,2,31.0
2,2,0.0,3,52.5
2,2,0.0,4,76.5
2,2,0.0,5,21.0
2,2,0.0,6,34.0
2,2,0.0,7,24.0
2,2,0.0,8,40.5
2,2,0.0,9,22.0
2,2,0.0,10,59.5
2,2,0.0,11,4.0
2,2,0.0,12,96.0
2,2,0.0,13,45.0
2,2,0.0,14,61.5
2,2,0.0,15,50.0
2,2,0.0,16,37.0
2,2,0.0,17,44.5
2,2,0.0,18,23.5
2,2,0.0,19,1.0
2,2,0.25,0,25.5
2,2,0.25,1,110.5
2,2,0.25,2,17.5
2,2,0.25,3,23.0
2,2,0.25,4,47.5
2,2,0.25,5,21.0
2,2,0.25,6,43.5
2,2,0.25,7,51.5
2,2,0.25,8,40.5
2,2,0.25,9,11.5
2,2,0.25,10,56.0
2,2,0.25,11,33.0
2,2,0.25,12,29.0
2,2,0.25,13,17.5
2,2,0.25,14,48.5
2,2,0.25,15,28.5
2,2,0.25,16,30.5
2,2,0.25,17,37.0
2,2,0.25,18,45.0
2,2,0.25,19,60.5
2,2,0.5,0,44.5
2,2,0.5,1,215.0
2,2,0.5,2,91.0
2,2,0.5,3,18.0
2,2,0.5,4,12.0
2,2,0.5,5,1.0
2,2,0.5,6,57.5
2,2,0.5,7,13.0
2,2,0.5,8,14.0
2,2,0.5,9,124.0
2,2,0.5,10,18.5
2,2,0.5,11,42.0
2,2,0.5,12,29.5
2,2,0.5,13,81.5
2,2,0.5,14,20.0
2,2,0.5,15,31.5
2,2,0.5,16,70.0
2,2,0.5,17,12.5
2,2,0.5,18,57.0
2,2,0.5,19,41.0
2,2,0.75,0,1.0
2,2,0.75,1,262.5
2,2,0.75,2,54.5
2,2,0.75,3,16.0
2,2,0.75,4,19.0
2,2,0.75,5,24.5
2,2,0.75,6,27.0
2,2,0.75,7,58.0
2,2,0.75,8,110.0
2,2,0.75,9,190.0
2,2,0.75,10,44.0
2,2,0.75,11,11.5
2,2,0.75,12,141.0
2,2,0.75,13,16.5
2,2,0.75,14,1.0
2,2,0.75,15,20.5
2,2,0.75,16,25.5
2,2,0.75,17,73.5
2,2,0.75,18,11.5
2,2,0.75,19,476.5
2,2,1.0,0,13.5
2,2,1.0,1,33.5
2,2,1.0,2,68.5
2,2,1.0,3,101.0
2,2,1.0,4,63.5
2,2,1.0,5,57.5
2,2,1.0,6,120.5
2,2,1.0,7,91.0
2,2,1.0,8,105.5
2,2,1.0,9,91.0
2,2,1.0,10,114.5
2,2,1.0,11,8.0
2,2,1.0,12,67.0
2,2,1.0,13,23.5
2,2,1.0,14,218.5
2,2,1.0,15,9.5
2,2,1.0,16,2.0
2,2,1.0,17,327.0
2,2,1.0,18,40.5
2,2,1.0,19,21.5
3,0,0.0,0,42.5
3,0,0.0,1,34.0
3,0,0.0,2,54.0
3,0,0.0,3,40.5
3,0,0.0,4,44.0
3,0,0.0,5,27.0
3,0,0.0,6,56.5
3,0,0.0,7,56.0
3,0,0.0,8,27.0
3,0,0.0,9,26.5
3,0,0.0,10,33.5
3,0,0.0,11,3.5
3,0,0.0,12,2.0
3,0,0.0,13,94.0
3,0,0.0,14,57.0
3,0,0.0,15,32.0
3,0,0.0,16,4.0
3,0,0.0,17,39.5
3,0,0.0,18,267.0
3,0,0.0,19,133.5
3,0,0.25,0,30.0
3,0,0.25,1,55.0
3,0,0.25,2,5.0
3,0,0.25,3,31.0
3,0,0.25,4,16.0
3,0,0.25,5,97.5
3,0,0.25,6,32.0
3,0,0.25,7,43.0
3,0,0.25,8,1.0
3,0,0.25,9,20.0
3,0,0.25,10,60.0
3,0,0.25,11,25.5
3,0,0.25,12,118.5
3,0,0.25,13,77.0
3,0,0.25,14,157.0
3,0,0.25,15,295.5
3,0,0.25,16,41.5
3,0,0.25,17,57.5
3,0,0.25,18,17.5
3,0,0.25,19,1.0
3,0,0.5,0,12.0
3,0,0.5,1,23.5
3,0,0.5,2,170.0
3,0,0.5,3,11.5
3,0,0.5,4,17.0
3,0,0.5,5,52.5
3,0,0.5,6,23.5
3,0,0.5,7,15.5
3,0,0.5,8,28.0
3,0,0.5,9,20.0
3,0,0.5,10,44.5
3,0,0.5,11,25.0
3,0,0.5,12,23.0
3,0,0.5,13,165.0
3,0,0.5,14,92.5
3,0,0.5,15,22.5
3,0,0.5,16,21.0
3,0,0.5,17,11.0
3,0,0.5,18,13.0
3,0,0.5,19,16.5
3,0,0.75,0,40.0
3,0,0.75,1,62.0
3,0,0.75,2,140.0
3,0,0.75,3,7.5
3,0,0.75,4,62.0
3,0,0.75,5,62.0
3,0,0.75,6,41.0
3,0,0.75,7,274.0
3,0,0.75,8,2.0
3,0,0.75,9,273.0
3,0,0.75,10,40.5
3,0,0.75,11,1.0
3,0,0.75,12,22.0
3,0,0.75,13,170.0
3,0,0.75,14,9.0
3,0,0.75,15,32.0
3,0,0.75,16,135.5
